htid	version_label
hvd.32044090278565	2022-12-04 12:12 UTC
nyp.33433081683744	2022-11-10 15:09 UTC
uc1.b3924132	2022-06-16 11:33 UTC
mdp.39015026482151	2023-07-22 18:55 UTC
uiug.30112106245936	2024-02-28 15:57 UTC
hvd.32044009576562	2023-10-07 22:52 UTC
nyp.33433067294433	2023-05-14 08:02 UTC
coo.31924065856167	2024-02-18 07:26 UTC
uc1.ax0002627784	2023-10-27 18:39 UTC
wu.89001946482	2023-07-21 14:01 UTC
uc1.b3311895	2023-05-24 06:50 UTC
hvd.32044048963128	2023-10-08 22:39 UTC
njp.32101076199213	2022-05-17 22:07 UTC
coo.31924051399685	2023-08-01 22:52 UTC
njp.32101076472800	2023-04-21 11:37 UTC
njp.32101076472859	2022-05-18 00:07 UTC
nyp.33433074380688	2023-07-08 15:15 UTC
hvd.32044019842491	2023-03-22 10:56 UTC
uc1.32106001559381	2022-07-11 01:01 UTC
mdp.39015024071642	2023-06-27 17:47 UTC
hvd.hx28d7	2023-03-01 03:52 UTC
uva.x002111617	2022-11-11 10:19 UTC
uc1.$b161790	2022-10-17 00:45 UTC
uc1.$b683534	2023-05-04 12:10 UTC
nyp.33433076066723	2022-10-02 13:14 UTC
miun.ajd7522.0001.001	2012-07-26 23:46 UTC
hvd.hxv9b7	2023-01-01 14:29 UTC
coo.31924065856167	2024-02-18 07:26 UTC
uc1.$b275098	2022-09-12 12:04 UTC
nyp.33433081676979	2024-03-01 09:07 UTC
coo.31924066177589	2023-10-03 14:18 UTC
hvd.32044011432754	2023-01-14 16:05 UTC
njp.32101076384609	2023-04-21 10:48 UTC
pst.000020068974	2023-08-10 06:15 UTC
mdp.39015087700681	2021-02-17 20:42 UTC
njp.32101076403078	2022-05-17 23:09 UTC
njp.32101075673655	2023-06-02 07:36 UTC
udel.31741113248746	2016-07-08 20:19 UTC
hvd.hn34f5	2022-12-05 08:54 UTC
inu.30000066028642	2019-05-02 19:27 UTC
uc1.b3794203	2023-05-31 10:25 UTC
uc1.b3794204	2022-06-03 23:44 UTC
inu.30000099671491	2022-12-16 15:44 UTC
hvd.hnqbsu	2023-03-19 17:15 UTC
mdp.39015020696541	2023-07-05 07:31 UTC
njp.32101075672541	2023-04-21 04:15 UTC
mdp.39015060441675	2023-04-15 03:09 UTC
hvd.32044031554363	2022-12-17 13:26 UTC
hvd.32044048963185	2023-10-08 22:38 UTC
njp.32101076403300	2022-10-25 02:18 UTC
coo.31924057525382	2024-02-10 13:52 UTC
coo.31924065580551	2023-09-11 05:00 UTC
mdp.39015008833884	2023-07-25 00:32 UTC
njp.32101010945275	2023-04-20 07:48 UTC
njp.32101076201159	2024-03-19 13:08 UTC
inu.30000099671632	2023-05-30 09:46 UTC
yale.39002004065844	2011-06-01 03:25 UTC
hvd.32044098627870	2022-12-29 10:25 UTC
inu.30000092253941	2022-12-20 16:29 UTC
mdp.39015060429308	2023-04-15 03:56 UTC
mdp.39015060429464	2023-04-06 06:50 UTC
uc1.b3385165	2023-12-18 07:01 UTC
uiug.30112042710548	2024-02-17 18:52 UTC
uc1.b3548551	2022-10-09 05:09 UTC
uc1.b3850894	2022-09-29 04:50 UTC
hvd.hnqbts	2023-03-19 17:16 UTC
mdp.39015024071824	2023-03-12 01:33 UTC
hvd.32044050827351	2023-03-22 13:37 UTC
coo.31924065585840	2023-10-03 14:21 UTC
mdp.39015048893195	2023-06-27 08:17 UTC
mdp.39015053252139	2022-12-16 11:29 UTC
mdp.39015059489032	2023-07-08 05:46 UTC
uc1.b3385486	2023-06-12 02:37 UTC
inu.30000099671665	2022-12-16 15:45 UTC
mdp.39015060425942	2022-10-30 02:47 UTC
coo.31924066146733	2023-08-11 17:47 UTC
uc1.b2905408	2022-10-17 15:18 UTC
hvd.32044010335081	2022-12-28 23:29 UTC
coo.31924057525861	2024-02-10 13:52 UTC
njp.32101076201167	2024-03-19 13:08 UTC
hvd.32044014419220	2022-12-09 18:23 UTC
mdp.39015053262393	2022-12-15 12:43 UTC
mdp.39015060429746	2023-04-18 12:44 UTC
uc1.b2972967	2023-08-31 14:52 UTC
umn.31951000742933f	2023-09-29 21:37 UTC
hvd.hwqu51	2023-02-28 12:31 UTC
mdp.39015060425751	2023-07-06 13:33 UTC
uiuo.ark:/13960/t4qk01n82	2014-06-04 10:01 UTC
njp.32101063578718	2022-07-16 03:13 UTC
mdp.39015009286215	2023-07-29 07:08 UTC
nyp.33433082488895	2024-03-03 11:56 UTC
hvd.32044098628217	2022-12-29 10:25 UTC
hvd.32044043851013	2023-07-09 10:01 UTC
njp.32101076199171	2024-03-19 13:11 UTC
mdp.39015060426742	2023-07-06 13:32 UTC
nyp.33433082488911	2023-09-22 15:27 UTC
njp.32101075672806	2023-04-21 04:17 UTC
mdp.39015033845549	2023-11-26 06:21 UTC
nyp.33433076055809	2022-10-05 13:13 UTC
njp.32101076425980	2023-04-21 11:02 UTC
coo.31924057522082	2023-08-05 16:39 UTC
mdp.39015004858224	2023-11-08 13:59 UTC
coo.31924065856167	2024-02-18 07:26 UTC
uiug.30112042290434	2024-02-20 04:47 UTC
uc1.b3011277	2023-05-26 14:44 UTC
mdp.39015003346247	2023-07-22 14:29 UTC
mdp.39015049192902	2023-07-22 21:13 UTC
njp.32101076379989	2022-05-17 22:44 UTC
njp.32101076533932	2022-05-18 00:35 UTC
chi.78323978	2023-08-07 17:05 UTC
chi.55229744	2024-02-26 06:56 UTC
njp.32101073758805	2023-03-06 23:56 UTC
uc2.ark:/13960/t4bp05b0f	2018-12-08 13:43 UTC
mdp.39015059488877	2023-07-08 05:46 UTC
chi.78323841	2023-11-30 13:22 UTC
mdp.39015005484020	2022-10-02 20:16 UTC
hvd.32044010332070	2023-02-25 03:53 UTC
njp.32101047468010	2023-09-22 21:04 UTC
uc1.b3627386	2022-09-23 11:58 UTC
hvd.32044092658095	2023-01-16 13:14 UTC
hvd.32044014692362	2023-03-21 10:43 UTC
nyp.33433000183008	2023-05-18 23:09 UTC
njp.32101080222720	2023-10-28 19:10 UTC
njp.32101074834787	2023-06-02 09:40 UTC
uc1.31158010000023	2023-08-24 03:53 UTC
nyp.33433067366678	2024-03-04 02:01 UTC
hvd.hwa2b7	2023-03-20 06:00 UTC
hvd.32044103001111	2023-01-17 20:33 UTC
umn.31951t00020309x	2023-10-01 17:01 UTC
mdp.39015008880067	2022-10-12 19:31 UTC
chi.78023993	2023-08-04 04:30 UTC
hvd.32044092738798	2023-01-16 14:43 UTC
nyp.33433081658886	2023-09-21 08:38 UTC
mdp.39015043572422	2024-01-12 15:17 UTC
njp.32101007684655	2024-03-04 21:45 UTC
uc1.32106020079791	2022-10-16 18:19 UTC
hvd.32044092797216	2023-01-16 15:02 UTC
mdp.39015059846678	2022-11-22 09:32 UTC
mdp.39015036664038	2022-10-06 15:36 UTC
chi.78013704	2023-08-04 04:31 UTC
mdp.39015059395619	2023-07-07 08:28 UTC
uc1.b3627386	2022-09-23 11:58 UTC
hvd.32044048963011	2023-10-08 22:39 UTC
nyp.33433081646642	2022-05-01 03:24 UTC
nyp.33433076055809	2022-10-05 13:13 UTC
mdp.39015060429415	2023-04-06 06:50 UTC
hvd.hxkepr	2023-03-03 05:40 UTC
uiug.30112001676896	2024-02-28 02:20 UTC
mdp.39015060429423	2023-04-18 12:44 UTC
chi.12153205	2024-02-12 15:40 UTC
mdp.39015026482151	2023-07-22 18:55 UTC
mdp.39015063933546	2023-12-31 21:55 UTC
inu.30000099860342	2022-12-20 16:30 UTC
njp.32101076425485	2023-07-06 01:56 UTC
umn.31951p00293997r	2023-01-14 04:12 UTC
wu.89001946482	2023-07-21 14:01 UTC
uc1.b3311895	2023-05-24 06:50 UTC
hvd.32044092624287	2023-01-16 15:26 UTC
uc1.b3627386	2022-09-23 11:58 UTC
uc1.$b31654	2022-05-29 17:18 UTC
inu.30000099671764	2023-01-31 17:30 UTC
hvd.32044094024825	2023-01-16 21:26 UTC
njp.32101020794176	2023-11-01 10:30 UTC
hvd.32044012913166	2022-12-09 14:08 UTC
njp.32101076451556	2023-10-26 04:46 UTC
njp.32101076472966	2022-11-10 16:08 UTC
mdp.39015060429597	2023-04-18 12:44 UTC
coo.31924066328299	2023-12-02 03:03 UTC
coo.31924066328299	2023-12-02 03:03 UTC
njp.32101076180460	2023-07-14 12:36 UTC
mdp.39015012991363	2023-04-05 13:23 UTC
njp.32101075673754	2023-04-21 04:19 UTC
njp.32101075672665	2022-11-05 21:32 UTC
msu.31293018462196	2022-05-28 02:13 UTC
njp.32101077262895	2023-06-30 10:52 UTC
hvd.32044092797182	2023-01-16 15:02 UTC
mdp.39015043572588	2023-08-15 11:16 UTC
nyp.33433081659017	2024-03-05 00:04 UTC
uc1.b2900825	2022-10-17 13:59 UTC
mdp.39015060424127	2023-04-15 03:55 UTC
njp.32101075672905	2022-11-05 23:42 UTC
hvd.32044010396893	2022-12-09 08:13 UTC
mdp.39015010329087	2023-03-31 15:46 UTC
njp.32101076890142	2022-05-18 01:07 UTC
mdp.39015010328121	2023-09-04 14:39 UTC
uc1.b2972398	2023-08-31 14:51 UTC
hvd.ah3rmv	2023-03-18 08:21 UTC
mdp.39015048909868	2022-07-27 21:17 UTC
njp.32101074443415	2023-07-06 19:28 UTC
mdp.39015078153817	2022-12-15 18:56 UTC
hvd.32044040731473	2023-10-08 19:59 UTC
pst.000068744151	2023-12-10 02:20 UTC
njp.32101065266668	2022-09-04 00:16 UTC
njp.32101065266668	2022-09-04 00:16 UTC
hvd.32044086720679	2022-12-10 15:06 UTC
coo.31924057531109	2024-02-18 05:18 UTC
mdp.39015060429332	2023-04-18 12:44 UTC
chi.19606141	2024-02-27 20:53 UTC
hvd.32044010495000	2022-12-31 00:36 UTC
hvd.32044024285587	2022-12-31 02:07 UTC
njp.32101076201175	2024-03-19 13:08 UTC
uva.x030453236	2022-08-26 14:39 UTC
mdp.39015043572661	2022-09-30 17:45 UTC
uc1.b2905409	2022-10-05 17:01 UTC
mdp.39015060429555	2023-04-18 12:44 UTC
mdp.39015060429498	2023-04-15 03:56 UTC
mdp.39015008601109	2022-11-23 18:27 UTC
nyp.33433074853965	2022-12-24 03:37 UTC
njp.32101068158847	2023-05-20 00:32 UTC
hvd.hnlia3	2023-03-19 14:38 UTC
loc.ark:/13960/t3gx4tr12	2011-03-17 01:33 UTC
hvd.tz1l4c	2023-03-21 11:20 UTC
mdp.39015060430108	2023-04-15 03:57 UTC
hvd.tz1l4w	2023-05-31 12:29 UTC
njp.32101010945226	2023-07-05 23:53 UTC
mdp.39015031048211	2023-04-10 09:02 UTC
njp.32101077276523	2023-04-21 17:28 UTC
njp.32101076782703	2023-06-19 12:20 UTC
hvd.32044050831999	2023-03-22 13:37 UTC
mdp.39015012330885	2023-07-05 05:13 UTC
uc1.b3546679	2023-06-11 10:35 UTC
njp.32101075673481	2023-04-21 04:18 UTC
mdp.39015020441104	2022-12-21 00:42 UTC
coo.31924106553286	2023-12-06 22:25 UTC
njp.32101076472792	2023-04-21 11:37 UTC
mdp.39015043572372	2022-09-30 17:45 UTC
hvd.32044050827351	2023-03-22 13:37 UTC
mdp.39015063944592	2022-11-19 07:56 UTC
njp.32101063578650	2023-04-20 09:35 UTC
njp.32101076433125	2023-09-26 15:14 UTC
mdp.39015048893252	2022-12-15 12:05 UTC
coo.31924065856167	2024-02-18 07:26 UTC
njp.32101075716934	2024-03-19 12:06 UTC
coo.31924057525606	2024-02-10 15:13 UTC
coo.31924062186204	2023-12-01 18:53 UTC
uc1.b3385173	2023-06-12 02:44 UTC
mdp.39015059402357	2022-07-27 23:27 UTC
njp.32101075672624	2023-04-21 04:16 UTC
hvd.ah3kfk	2023-03-18 07:39 UTC
njp.32101076795333	2024-03-19 15:01 UTC
njp.32101023869397	2023-04-20 08:03 UTC
uc1.$b312189	2022-09-12 05:57 UTC
njp.32101007684614	2024-03-04 21:45 UTC
hvd.32044092624352	2023-01-16 13:00 UTC
uva.x000240890	2022-09-18 04:24 UTC
nyp.33433067294433	2023-05-14 08:02 UTC
nyp.33433067294433	2023-05-14 08:02 UTC
coo.31924007186517	2023-11-30 00:54 UTC
njp.32101047468002	2023-09-22 21:04 UTC
hvd.32044009907841	2023-10-07 23:22 UTC
hvd.32044021008149	2023-10-08 11:00 UTC
njp.32101076201183	2023-07-03 04:24 UTC
njp.32101076457744	2023-04-21 11:15 UTC
mdp.39015060430082	2023-07-06 13:29 UTC
uc1.b3385513	2023-12-18 06:59 UTC
mdp.39015053252139	2022-12-16 11:29 UTC
inu.30000092253925	2023-04-10 00:21 UTC
pst.000008820648	2023-08-07 19:42 UTC
mdp.39015008570205	2023-06-05 00:18 UTC
coo.31924075116701	2023-09-27 19:07 UTC
nyp.33433089908747	2023-08-08 14:35 UTC
hvd.32044086791217	2022-12-09 17:53 UTC
njp.32101072577347	2024-03-17 02:19 UTC
njp.32101071985772	2022-12-25 02:44 UTC
mdp.39015056480562	2022-11-24 12:09 UTC
umn.31951002792969k	2022-09-14 23:40 UTC
nyp.33433087345637	2023-05-26 11:58 UTC
mdp.39015022469087	2023-08-06 16:32 UTC
inu.30000084048762	2023-04-21 01:25 UTC
njp.32101023869397	2023-04-20 08:03 UTC
mdp.39015008095047	2022-12-15 21:50 UTC
njp.32101077260600	2022-05-18 01:32 UTC
njp.32101077260618	2022-05-18 01:32 UTC
nyp.33433074380704	2023-07-05 06:03 UTC
inu.30000104007657	2023-03-30 18:06 UTC
njp.32101076457702	2023-04-21 11:15 UTC
mdp.39015043800013	2023-04-13 10:29 UTC
nyp.33433004518415	2024-03-08 20:02 UTC
hvd.32044038399135	2023-01-14 23:49 UTC
njp.32101077288247	2023-04-21 15:12 UTC
njp.32101076199130	2023-07-11 11:08 UTC
njp.32101076530979	2023-05-20 05:04 UTC
uc1.c2608792	2023-09-27 23:40 UTC
njp.32101076530979	2023-05-20 05:04 UTC
nyp.33433074380662	2023-05-31 03:09 UTC
hvd.32044011856838	2022-12-31 00:39 UTC
uc1.b3919785	2022-09-30 00:16 UTC
wu.89001946482	2023-07-21 14:01 UTC
uc1.b3311895	2023-05-24 06:50 UTC
uc2.ark:/13960/t8w95458t	2010-05-03 22:15 UTC
mdp.39015013094217	2023-07-22 15:04 UTC
mdp.39015008305289	2023-06-15 15:36 UTC
njp.32101076530979	2023-05-20 05:04 UTC
hvd.hwp8ba	2023-04-07 15:28 UTC
njp.32101076457066	2023-04-05 18:58 UTC
coo1.ark:/13960/t4bp0n867	2022-11-07 18:14 UTC
njp.32101076530979	2023-05-20 05:04 UTC
uc1.b2972949	2023-05-26 05:19 UTC
njp.32101045352828	2023-09-22 21:20 UTC
njp.32101047467988	2023-09-22 21:04 UTC
hvd.32044086759800	2022-12-10 14:16 UTC
uc1.b3885866	2022-09-29 21:15 UTC
mdp.39015060429357	2023-04-18 12:44 UTC
njp.32101077288569	2022-05-18 02:20 UTC
aeu.ark:/13960/t1pg22p71	2014-09-15 07:08 UTC
nyp.33433082488887	2023-01-24 13:51 UTC
njp.32101064475831	2024-03-16 21:24 UTC
uc1.31175035197097	2022-05-24 06:26 UTC
njp.32101076880150	2023-05-13 23:22 UTC
coo.31924008821047	2022-11-25 23:34 UTC
nyp.33433074380720	2023-06-01 19:48 UTC
hvd.32044038400958	2023-10-08 18:51 UTC
mdp.39015030932753	2022-12-15 07:29 UTC
nyp.33433074380696	2023-07-11 10:18 UTC
njp.32101076889508	2023-10-26 04:28 UTC
njp.32101077288239	2023-04-21 15:12 UTC
hvd.32044098627268	2022-12-29 10:23 UTC
hvd.32044092634013	2023-01-15 12:33 UTC
hvd.32044014683114	2023-10-08 04:35 UTC
hvd.32044058190059	2023-01-15 05:02 UTC
umn.31951002804000l	2024-02-02 16:44 UTC
uc1.$b661479	2023-05-03 21:36 UTC
hvd.32044092645134	2023-01-15 11:07 UTC
mdp.39015060429357	2023-04-18 12:44 UTC
mdp.39015074687149	2023-07-20 18:19 UTC
mdp.39015035805772	2023-01-29 00:15 UTC
pst.000068744458	2023-11-01 15:38 UTC
mdp.39015016898432	2023-01-13 01:34 UTC
uc1.b3924130	2022-06-10 04:29 UTC
uc1.b3924129	2022-06-16 11:52 UTC
njp.32101075672509	2023-04-21 04:16 UTC
uc1.b3293449	2022-08-31 05:38 UTC
loc.ark:/13960/t1fj37n7j	2011-03-12 18:03 UTC
loc.ark:/13960/t9280zf6z	2011-03-19 03:14 UTC
njp.32101076200664	2023-04-04 23:21 UTC
njp.32101076403425	2022-05-17 23:10 UTC
mdp.39015060429340	2023-04-18 12:44 UTC
mdp.39015003348201	2023-11-24 05:38 UTC
mdp.39015067091739	2023-04-10 13:54 UTC
mdp.39015059896285	2023-08-06 17:42 UTC
mdp.39015060430397	2023-04-18 12:45 UTC
inu.30000099860565	2022-12-16 15:46 UTC
njp.32101073025528	2023-10-25 16:37 UTC
hvd.32044090276395	2023-06-22 04:37 UTC
hvd.hwilnp	2023-03-20 08:08 UTC
dul1.ark:/13960/t6d23816n	2014-01-10 17:15 UTC
njp.32101075716934	2024-03-19 12:06 UTC
njp.32101075716934	2024-03-19 12:06 UTC
njp.32101076199239	2023-07-04 12:30 UTC
hvd.hnqbsv	2023-03-19 17:15 UTC
nyp.33433081647616	2024-03-01 04:11 UTC
njp.32101037023239	2023-10-28 04:07 UTC
njp.32101037601646	2023-11-01 09:45 UTC
njp.32101063578791	2024-03-06 13:16 UTC
hvd.32044012418034	2023-10-08 02:17 UTC
ucm.5326809190	2022-05-22 09:08 UTC
mdp.39015054289338	2022-11-24 12:41 UTC
njp.32101074443332	2024-03-19 10:54 UTC
njp.32101074443399	2023-07-12 14:30 UTC
njp.32101074443415	2023-07-06 19:28 UTC
njp.32101021580343	2023-04-20 08:03 UTC
inu.30000099860326	2022-12-16 15:47 UTC
njp.32101076041084	2023-08-02 17:35 UTC
njp.32101075672749	2023-04-21 04:17 UTC
njp.32101075729960	2024-03-19 11:48 UTC
hvd.32044098627433	2022-12-29 10:24 UTC
uc1.b3885859	2023-06-02 19:17 UTC
mdp.39015060429530	2023-04-18 12:44 UTC
njp.32101077288213	2023-04-08 12:24 UTC
mdp.39076000323746	2023-08-13 21:22 UTC
inu.32000000683138	2024-01-19 09:06 UTC
mdp.39015027588287	2024-01-25 09:54 UTC
mdp.39015073107768	2024-01-05 21:48 UTC
coo.31924057525671	2024-02-10 13:52 UTC
hvd.32044092711480	2023-01-16 15:29 UTC
uc1.b3924126	2022-06-05 01:58 UTC
hvd.32044038400958	2023-10-08 18:51 UTC
hvd.32044092797232	2023-01-16 15:42 UTC
njp.32101076384435	2023-03-26 09:14 UTC
njp.32101076378189	2023-10-25 19:32 UTC
hvd.32044009957044	2023-10-07 23:28 UTC
njp.32101076378536	2023-10-25 19:32 UTC
hvd.hnqbsx	2023-03-26 02:32 UTC
hvd.32044012418034	2023-10-08 02:17 UTC
nyp.33433081756896	2023-01-18 18:29 UTC
chi.55220547	2024-02-12 15:35 UTC
njp.32101076889979	2023-10-27 10:54 UTC
chi.79213384	2024-02-11 10:28 UTC
uiuo.ark:/13960/t4qk01n82	2014-06-04 10:01 UTC
hvd.32044048962955	2023-02-26 13:35 UTC
hvd.32044092677376	2023-10-10 01:49 UTC
uc1.32106001646766	2023-05-10 19:57 UTC
uc1.32106015528877	2022-06-21 04:43 UTC
nyp.33433081672853	2023-09-21 13:26 UTC
njp.32101076426079	2023-04-21 11:04 UTC
njp.32101076040946	2023-09-26 18:29 UTC
mdp.39015048893823	2023-07-01 02:53 UTC
uc1.b2974316	2023-06-07 20:53 UTC
uc2.ark:/13960/t8ff3wr3q	2010-04-29 11:05 UTC
hvd.hxkepr	2023-03-03 05:40 UTC
njp.32101076457728	2023-04-21 11:15 UTC
coo.31924069259624	2023-10-14 20:07 UTC
hvd.32044092640663	2023-01-17 00:26 UTC
njp.32101075673622	2024-03-19 10:31 UTC
mdp.39015049192910	2023-07-03 08:47 UTC
hvd.32044092796093	2023-01-16 15:01 UTC
mdp.39015030866506	2023-11-08 17:54 UTC
hvd.32044092797190	2023-01-16 15:02 UTC
chi.12755443	2024-02-27 20:53 UTC
hvd.32044048963029	2024-01-03 09:15 UTC
hvd.hnqbsr	2023-03-19 17:15 UTC
mdp.39015048893831	2023-06-27 22:57 UTC
hvd.32044048963136	2024-01-03 09:15 UTC
hvd.32044103001129	2023-01-17 20:00 UTC
hvd.hxe6bx	2023-03-26 04:48 UTC
uiug.30112001676896	2024-02-28 02:20 UTC
inu.30000099671525	2023-07-04 02:42 UTC
inu.30000099671624	2023-05-30 09:46 UTC
uiug.30112046384886	2022-05-19 10:57 UTC
hvd.hnqbtn	2023-03-19 17:16 UTC
njp.32101065266304	2022-09-03 13:08 UTC
njp.32101076201183	2023-07-03 04:24 UTC
mdp.39015060429381	2023-04-09 19:32 UTC
njp.32101075672871	2023-04-21 04:17 UTC
hvd.32044010396893	2022-12-09 08:13 UTC
uc1.b3385477	2023-06-12 02:37 UTC
nyp.33433082219621	2023-06-01 06:45 UTC
njp.32101064467036	2023-11-02 08:51 UTC
hvd.32044031571342	2023-01-14 20:51 UTC
hvd.32044054989868	2023-10-09 01:31 UTC
inu.30000099671566	2023-05-30 09:46 UTC
mdp.39015060429399	2023-04-18 12:44 UTC
mdp.39015033845689	2023-11-26 10:54 UTC
hvd.32044098628274	2022-12-29 11:19 UTC
mdp.39015059397953	2023-04-13 23:26 UTC
nyp.33433075914071	2023-07-03 02:44 UTC
mdp.39015008095104	2023-07-01 22:59 UTC
njp.32101065270892	2023-07-15 08:12 UTC
hvd.32044092711431	2023-01-16 14:37 UTC
coo.31924066518758	2023-11-19 14:39 UTC
uc1.ax0003129954	2022-07-17 21:13 UTC
njp.32101076472909	2023-07-06 01:55 UTC
mdp.39015060429480	2023-04-15 03:08 UTC
mdp.39015030936325	2023-04-06 02:07 UTC
hvd.32044098641632	2022-12-29 10:48 UTC
njp.32101075672855	2023-07-05 05:32 UTC
chi.79279237	2022-08-29 08:22 UTC
hvd.32044011590692	2022-12-31 01:51 UTC
njp.32101076472917	2022-09-10 13:56 UTC
mdp.39015059402340	2023-02-01 16:00 UTC
umn.31951002792970z	2024-01-25 03:01 UTC
njp.32101076472958	2023-07-11 16:57 UTC
mdp.39015060430116	2023-04-18 12:45 UTC
njp.32101076472933	2022-11-10 16:07 UTC
mdp.39015060430058	2023-04-18 12:44 UTC
mdp.39015060430371	2023-04-18 12:45 UTC
mdp.39015014523602	2022-12-15 04:38 UTC
hvd.32044098641343	2022-12-29 11:26 UTC
njp.32101007893256	2023-08-21 10:56 UTC
njp.32101063551608	2023-03-06 12:40 UTC
hvd.32044092754100	2023-01-16 14:48 UTC
mdp.39015041879613	2008-06-05 03:42 UTC
nyp.33433074829270	2022-05-01 00:20 UTC
njp.32101075672608	2023-04-21 05:02 UTC
hvd.hnqbst	2023-03-19 17:15 UTC
hvd.hxe6bz	2023-03-26 05:00 UTC
hvd.32044010396893	2022-12-09 08:13 UTC
nyp.33433082219902	2023-09-21 16:01 UTC
coo1.ark:/13960/t3st84m4q	2015-07-18 06:04 UTC
mdp.39015036664079	2023-01-27 20:38 UTC
loc.ark:/13960/t0xp7hp6s	2011-03-12 12:24 UTC
uc1.c2641998	2023-12-22 22:52 UTC
hvd.32044092796085	2023-10-10 02:10 UTC
hvd.32044092797208	2023-01-16 15:02 UTC
mdp.39015008095153	2023-01-31 19:47 UTC
mdp.39015060429506	2023-04-09 19:32 UTC
uc1.$b272656	2022-09-14 05:41 UTC
hvd.hnle8h	2023-03-19 15:06 UTC
nyp.33433000182992	2023-05-18 20:49 UTC
inu.30000099671723	2023-05-30 09:46 UTC
mdp.39015060429589	2023-04-18 12:44 UTC
hvd.hnqbtj	2023-03-19 17:15 UTC
mdp.39015060429522	2023-04-09 19:32 UTC
hvd.hxe6c3	2023-03-26 05:00 UTC
nyp.33433074894126	2023-03-06 04:28 UTC
njp.32101075672632	2023-04-21 04:16 UTC
mdp.39015043572539	2022-12-26 14:27 UTC
hvd.hx2hrd	2023-04-04 14:47 UTC
njp.32101047467996	2023-09-22 21:04 UTC
njp.32101047468002	2023-09-22 21:04 UTC
coo1.ark:/13960/t70v9287j	2015-07-18 13:54 UTC
njp.32101077879508	2022-09-07 18:55 UTC
mdp.39015060429449	2023-04-18 12:44 UTC
mdp.39015087701341	2024-03-10 19:04 UTC
hvd.32044074313453	2022-12-09 16:18 UTC
njp.32101076457785	2023-04-21 11:15 UTC
mdp.39015060429548	2023-04-15 03:56 UTC
chi.78013677	2023-08-04 04:31 UTC
mdp.39015015383279	2023-08-04 09:23 UTC
nyp.33433076071004	2022-10-05 14:13 UTC
hvd.hnqbtr	2023-03-26 02:32 UTC
inu.30000099671541	2022-12-16 15:45 UTC
coo1.ark:/13960/t9n30f16x	2015-07-18 20:16 UTC
mdp.39015073107529	2024-01-05 20:27 UTC
njp.32101063578627	2024-03-06 13:16 UTC
coo.31924062189661	2023-07-08 12:30 UTC
njp.32101076471414	2023-12-24 13:04 UTC
coo.31924066146733	2023-08-11 17:47 UTC
mdp.39015060429431	2023-04-09 19:32 UTC
mdp.39015049192894	2023-08-07 09:02 UTC
uc1.b2972410	2022-10-01 23:20 UTC
mdp.39015062280055	2022-11-26 21:01 UTC
inu.30000099671558	2023-07-10 04:42 UTC
inu.30000104005750	2023-03-30 18:06 UTC
njp.32101077262788	2023-06-02 10:52 UTC
mdp.39015049192928	2023-04-18 07:10 UTC
njp.32101075672616	2023-04-21 04:16 UTC
